PZ43,LIG,UNL,NI4,UNK
PZ47,LIG,UNL,GNG,UNK
PZ49,LIG,UNL,2ZY,UNK
PZ4,SAM,LIG,UNL,UNK
PZ21,GAI,LIG,UNL,UNK
PZ25,GNG,LIG,UNL,UNK
PZ38,NMN,LIG,UNL,UNK
